Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
32,Nicolas Batum,SG,28,CHO,77,2617,15.8,.529,.415,.291,1.9,18.4,10.1,27.6,1.6,1.0,15.0,22.3,1.7,2.8,4.5,.083,0.6,0.6,1.2,2.1
33,Jerryd Bayless,PG,28,PHI,3,71,8.7,.453,.156,.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,-0.1,0.0,-0.1,-0.067,-5.2,-2.9,-8.2,-0.1
34,Aron Baynes,C,30,DET,75,1163,13.1,.570,.000,.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3.0,.123,-2.9,1.1,-1.8,0.1
35,Kent Bazemore,SF,27,ATL,73,1963,11.5,.504,.369,.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,.053,-2.0,1.2,-0.8,0.6
36,Bradley Beal,SG,23,WAS,77,2684,20.1,.604,.418,.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.8,1.6,8.5,.151,4.5,-2.4,2.2,2.8
37,Malik Beasley,SG,20,DEN,22,165,13.7,.536,.384,.137,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,.057,-0.5,-3.5,-3.9,-0.1
38,Michael Beasley,PF,28,MIL,56,935,17.8,.584,.106,.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,0.8,1.0,1.8,.093,-1.7,-1.1,-2.9,-0.2
39,Marco Belinelli,SG,30,CHO,74,1778,13.3,.566,.460,.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2.0,1.2,3.2,.088,0.1,-2.0,-1.9,0.1
40,DeAndre' Bembry,SF,22,ATL,38,371,8.8,.481,.184,.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,.038,-4.4,0.1,-4.3,-0.2
41,Dragan Bender,PF,19,PHO,43,574,5.3,.440,.627,.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.029,-4.0,-0.3,-4.3,-0.3
42,Anthony Bennett,PF,23,BRK,23,264,14.7,.533,.522,.391,10.1,21.0,15.6,7.1,0.9,0.9,10.0,19.4,0.3,0.2,0.5,.090,-0.8,-2.2,-3.0,-0.1
43,Ben Bentil,PF,21,DAL,3,10,-17.6,.000,.333,.000,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9,-0.1,0.0,-0.1,-0.473,-22.4,-4.5,-26.9,-0.1
44,Davis Bertans,PF,24,SAS,67,808,12.9,.609,.739,.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,1.1,1.2,2.3,.135,1.2,0.5,1.7,0.8
45,Patrick Beverley,SG,28,HOU,67,2058,13.0,.546,.530,.175,5.0,15.9,10.4,18.8,2.3,1.0,14.6,14.1,2.9,2.4,5.3,.124,0.8,1.5,2.3,2.2
46,Bismack Biyombo,C,24,ORL,81,1793,12.2,.546,.000,.690,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,0.8,2.1,2.9,.077,-4.2,2.0,-2.2,-0.1
47,Nemanja Bjelica,PF,28,MIN,65,1190,11.0,.526,.497,.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,0.6,0.9,1.5,.059,-0.7,-0.4,-1.1,0.3
